dia_busqueda,origen,destino,hora_salida,hora_llegada,duracion,num_vuelo,aerolinea,cod_aerolinea,precio
2019-04-15,Barcelona,London Luton,2019-04-22T10:50:00,2019-04-22T12:15:00,145,2264,easyJet,EZY,271.0
2019-04-15,Barcelona,London Heathrow,2019-04-22T20:35:00,2019-04-22T21:50:00,135,487,British Airways,BA,635.0
2019-04-15,Barcelona,London Heathrow,2019-04-22T10:10:00,2019-04-22T11:35:00,145,7475,British Airways,BA,635.0
2019-04-15,Barcelona,London Gatwick,2019-04-22T12:35:00,2019-04-22T13:55:00,140,5254,Vueling Airlines,VY,626.19
2019-04-15,Barcelona,London Gatwick,2019-04-22T20:30:00,2019-04-22T21:55:00,145,8578,easyJet,EZY,326.0
2019-04-15,Barcelona,London Heathrow,2019-04-22T20:35:00,2019-04-22T21:50:00,135,7487,British Airways,BA,635.0
2019-04-15,Barcelona,London Heathrow,2019-04-22T11:40:00,2019-04-22T13:05:00,145,7480,British Airways,BA,635.0
2019-04-15,Barcelona,London Gatwick,2019-04-22T17:25:00,2019-04-22T18:40:00,135,5502,Norwegian Air International,D8,349.9
2019-04-15,Barcelona,London Heathrow,2019-04-22T20:05:00,2019-04-22T21:25:00,140,407,British Airways,BA,505.0
2019-04-15,Barcelona,London Gatwick,2019-04-22T15:20:00,2019-04-22T16:50:00,150,8574,easyJet,EZY,338.42
2019-04-15,Barcelona,London Gatwick,2019-04-22T11:15:00,2019-04-22T12:45:00,150,8572,easyJet,EZY,293.0
2019-04-15,Barcelona,London Heathrow,2019-04-22T14:50:00,2019-04-22T16:10:00,140,475,British Airways,BA,635.0
2019-04-15,Barcelona,London Heathrow,2019-04-22T11:40:00,2019-04-22T13:05:00,145,479,British Airways,BA,635.0
2019-04-15,Barcelona,London Gatwick,2019-04-22T19:00:00,2019-04-22T20:20:00,140,7820,Vueling Airlines,VY,423.65
2019-04-15,Barcelona,London Heathrow,2019-04-22T07:10:00,2019-04-22T08:35:00,145,7478,British Airways,BA,503.67
2019-04-15,Barcelona,London Heathrow,2019-04-22T07:10:00,2019-04-22T08:35:00,145,477,British Airways,BA,337.86
2019-04-15,Barcelona,London Gatwick,2019-04-22T07:05:00,2019-04-22T08:25:00,140,7834,Vueling Airlines,VY,289.94
2019-04-15,Barcelona,London Gatwick,2019-04-22T07:05:00,2019-04-22T08:25:00,140,5047,Vueling Airlines,VY,304.95
2019-04-15,Barcelona,London Gatwick,2019-04-22T07:35:00,2019-04-22T08:55:00,140,7822,Vueling Airlines,VY,283.15
