dia_busqueda,origen,destino,hora_salida,hora_llegada,duracion,num_vuelo,aerolinea,cod_aerolinea,precio
2019-04-03,Barcelona,Zurich,2019-04-10T17:50:00,2019-04-10T19:45:00,115,6248,Vueling Airlines,VY,171.16
2019-04-03,Barcelona,Zurich,2019-04-10T06:25:00,2019-04-10T08:05:00,100,1951,SWISS,LX,181.12
2019-04-03,Barcelona,Zurich,2019-04-10T17:50:00,2019-04-10T19:45:00,115,5210,Vueling Airlines,VY,159.63
2019-04-03,Barcelona,Zurich,2019-04-10T09:40:00,2019-04-10T11:30:00,110,1953,SWISS,LX,181.12
2019-04-03,Barcelona,Zurich,2019-04-10T20:05:00,2019-04-10T21:50:00,105,1957,SWISS,LX,181.12
2019-04-03,Barcelona,Zurich,2019-04-10T14:55:00,2019-04-10T16:40:00,105,1955,SWISS,LX,184.12
2019-04-03,Barcelona,Zurich,2019-04-17T06:25:00,2019-04-17T08:05:00,100,1951,SWISS,LX,166.2
2019-04-03,Barcelona,Zurich,2019-04-17T17:50:00,2019-04-17T19:45:00,115,5210,Vueling Airlines,VY,151.27
2019-04-03,Barcelona,Zurich,2019-04-17T09:40:00,2019-04-17T11:30:00,110,1953,SWISS,LX,166.2
2019-04-03,Barcelona,Zurich,2019-04-17T07:10:00,2019-04-17T09:05:00,115,6246,Vueling Airlines,VY,154.7
2019-04-03,Barcelona,Zurich,2019-04-17T07:10:00,2019-04-17T09:05:00,115,5195,Vueling Airlines,VY,142.19
2019-04-03,Barcelona,Zurich,2019-04-17T17:50:00,2019-04-17T19:45:00,115,6248,Vueling Airlines,VY,163.29
2019-04-03,Barcelona,Zurich,2019-04-17T14:55:00,2019-04-17T16:40:00,105,1955,SWISS,LX,166.2
2019-04-03,Barcelona,Zurich,2019-04-17T20:05:00,2019-04-17T21:50:00,105,1957,SWISS,LX,166.2
2019-04-03,Barcelona,Zurich,2019-04-24T14:55:00,2019-04-24T16:40:00,105,1955,SWISS,LX,246.82
2019-04-03,Barcelona,Zurich,2019-04-24T20:05:00,2019-04-24T21:50:00,105,1957,SWISS,LX,270.13
2019-04-03,Barcelona,Zurich,2019-04-24T07:10:00,2019-04-24T09:05:00,115,6246,Vueling Airlines,VY,164.67
2019-04-03,Barcelona,Zurich,2019-04-24T17:50:00,2019-04-24T19:45:00,115,6248,Vueling Airlines,VY,240.85
2019-04-03,Barcelona,Zurich,2019-04-24T07:10:00,2019-04-24T09:05:00,115,5195,Vueling Airlines,VY,151.38
2019-04-03,Barcelona,Zurich,2019-04-24T06:25:00,2019-04-24T08:05:00,100,1951,SWISS,LX,167.47
2019-04-03,Barcelona,Zurich,2019-04-24T09:40:00,2019-04-24T11:30:00,110,1953,SWISS,LX,182.66
2019-04-03,Barcelona,Zurich,2019-04-24T17:50:00,2019-04-24T19:45:00,115,5210,Vueling Airlines,VY,254.97
2019-04-03,Barcelona,Zurich,2019-05-01T20:05:00,2019-05-01T21:50:00,105,1957,SWISS,LX,246.82
2019-04-03,Barcelona,Zurich,2019-05-01T14:55:00,2019-05-01T16:40:00,105,1955,SWISS,LX,222.91
2019-04-03,Barcelona,Zurich,2019-05-01T17:50:00,2019-05-01T19:45:00,115,6248,Vueling Airlines,VY,118.79
2019-04-03,Barcelona,Zurich,2019-05-01T07:10:00,2019-05-01T09:05:00,115,6246,Vueling Airlines,VY,94.89
2019-04-03,Barcelona,Zurich,2019-05-01T07:10:00,2019-05-01T09:05:00,115,5195,Vueling Airlines,VY,178.56
2019-04-03,Barcelona,Zurich,2019-05-01T17:50:00,2019-05-01T19:45:00,115,5210,Vueling Airlines,VY,205.01
2019-04-03,Barcelona,Zurich,2019-05-01T09:40:00,2019-05-01T11:30:00,110,1953,SWISS,LX,182.66
2019-04-03,Barcelona,Zurich,2019-05-01T06:25:00,2019-05-01T08:05:00,100,1951,SWISS,LX,167.47
2019-04-03,Barcelona,Zurich,2019-05-08T07:10:00,2019-05-08T09:05:00,115,6246,Vueling Airlines,VY,55.51
2019-04-03,Barcelona,Zurich,2019-05-08T17:50:00,2019-05-08T19:45:00,115,6248,Vueling Airlines,VY,78.57
2019-04-03,Barcelona,Zurich,2019-05-08T14:55:00,2019-05-08T16:40:00,105,1955,SWISS,LX,95.07
2019-04-03,Barcelona,Zurich,2019-05-08T20:05:00,2019-05-08T21:50:00,105,1957,SWISS,LX,95.07
2019-04-03,Barcelona,Zurich,2019-05-08T09:40:00,2019-05-08T11:30:00,110,1953,SWISS,LX,95.07
2019-04-03,Barcelona,Zurich,2019-05-08T17:50:00,2019-05-08T19:45:00,115,5210,Vueling Airlines,VY,90.86
2019-04-03,Barcelona,Zurich,2019-05-08T06:25:00,2019-05-08T08:05:00,100,1951,SWISS,LX,95.07
2019-04-03,Barcelona,Zurich,2019-05-08T07:10:00,2019-05-08T09:05:00,115,5195,Vueling Airlines,VY,67.22
2019-04-03,Barcelona,Zurich,2019-05-15T09:40:00,2019-05-15T11:30:00,110,1953,SWISS,LX,95.66
2019-04-03,Barcelona,Zurich,2019-05-15T06:25:00,2019-05-15T08:05:00,100,1951,SWISS,LX,95.66
2019-04-03,Barcelona,Zurich,2019-05-15T20:05:00,2019-05-15T21:50:00,105,1957,SWISS,LX,95.66
2019-04-03,Barcelona,Zurich,2019-05-15T14:55:00,2019-05-15T16:40:00,105,1955,SWISS,LX,95.66
2019-04-03,Barcelona,Zurich,2019-05-15T07:10:00,2019-05-15T09:05:00,115,5195,Vueling Airlines,VY,52.51
2019-04-03,Barcelona,Zurich,2019-05-15T17:50:00,2019-05-15T19:45:00,115,6248,Vueling Airlines,VY,55.51
2019-04-03,Barcelona,Zurich,2019-05-15T17:50:00,2019-05-15T19:45:00,115,5210,Vueling Airlines,VY,52.51
2019-04-03,Barcelona,Zurich,2019-05-15T07:10:00,2019-05-15T09:05:00,115,6246,Vueling Airlines,VY,55.51
2019-04-03,Barcelona,Zurich,2019-05-22T20:05:00,2019-05-22T21:50:00,105,1957,SWISS,LX,87.11
2019-04-03,Barcelona,Zurich,2019-05-22T09:40:00,2019-05-22T11:30:00,110,1953,SWISS,LX,87.11
2019-04-03,Barcelona,Zurich,2019-05-22T06:25:00,2019-05-22T08:05:00,100,1951,SWISS,LX,87.11
2019-04-03,Barcelona,Zurich,2019-05-22T07:10:00,2019-05-22T09:05:00,115,5195,Vueling Airlines,VY,52.51
2019-04-03,Barcelona,Zurich,2019-05-22T07:10:00,2019-05-22T09:05:00,115,6246,Vueling Airlines,VY,55.51
2019-04-03,Barcelona,Zurich,2019-05-22T17:50:00,2019-05-22T19:45:00,115,5210,Vueling Airlines,VY,67.03
2019-04-03,Barcelona,Zurich,2019-05-22T14:55:00,2019-05-22T16:40:00,105,1955,SWISS,LX,87.11
2019-04-03,Barcelona,Zurich,2019-05-22T17:50:00,2019-05-22T19:45:00,115,6248,Vueling Airlines,VY,69.18
