id_oferta,id_vuelo,origen,destino,hora_salida,hora_llegada,duracion,num_vuelo,aerolinea,cod_aerolinea,escalas,precio
1,1,London Gatwick,Madrid,2019-11-09T10:10:00,2019-11-09T13:35:00,145,1014,Air Europa,UX,1,87.0
1,2,Madrid,Paris Orly,2019-11-09T17:20:00,2019-11-09T19:20:00,120,1025,Air Europa,UX,1,87.0
2,3,London Heathrow,Lisbon,2019-11-09T12:25:00,2019-11-09T15:10:00,165,1367,TAP Air Portugal,TP,1,98.0
2,4,Lisbon,Paris Orly,2019-11-09T16:15:00,2019-11-09T19:45:00,150,438,TAP Air Portugal,TP,1,98.0
3,5,London Gatwick,Madrid,2019-11-09T17:25:00,2019-11-09T20:50:00,145,1016,Air Europa,UX,1,68.3
3,6,Madrid,Paris Orly,2019-11-10T07:15:00,2019-11-10T09:15:00,120,1027,Air Europa,UX,1,68.3
4,7,London Heathrow,Frankfurt am Main,2019-11-09T12:30:00,2019-11-09T15:05:00,95,905,Lufthansa,LH,1,256.14
4,8,Frankfurt am Main,Paris Charles de Gaulle,2019-11-09T16:25:00,2019-11-09T17:40:00,75,1040,Lufthansa,LH,1,256.14
5,9,London Heathrow,Lisbon,2019-11-09T08:15:00,2019-11-09T10:55:00,160,1351,TAP Air Portugal,TP,1,115.0
5,10,Lisbon,Paris Orly,2019-11-09T13:25:00,2019-11-09T16:55:00,150,432,TAP Air Portugal,TP,1,115.0
6,11,London Heathrow,Munich,2019-11-09T08:45:00,2019-11-09T11:30:00,105,2471,Lufthansa,LH,1,254.14
6,12,Munich,Paris Charles de Gaulle,2019-11-09T13:25:00,2019-11-09T15:00:00,95,2230,Lufthansa,LH,1,254.14
7,13,London Heathrow,Frankfurt am Main,2019-11-09T13:30:00,2019-11-09T16:05:00,95,907,Lufthansa,LH,1,256.14
7,14,Frankfurt am Main,Paris Charles de Gaulle,2019-11-09T17:40:00,2019-11-09T18:55:00,75,1046,Lufthansa,LH,1,256.14
8,15,London Heathrow,Frankfurt am Main,2019-11-09T17:30:00,2019-11-09T20:05:00,95,915,Lufthansa,LH,1,256.14
8,16,Frankfurt am Main,Paris Charles de Gaulle,2019-11-09T20:50:00,2019-11-09T22:05:00,75,1050,Lufthansa,LH,1,256.14
9,17,London Heathrow,Paris Charles de Gaulle,2019-11-09T07:20:00,2019-11-09T09:35:00,75,304,British Airways,BA,0,88.8
10,18,London Heathrow,Amsterdam,2019-11-09T14:05:00,2019-11-09T16:20:00,75,1012,KLM,KL,1,110.0
10,19,Amsterdam,Paris Charles de Gaulle,2019-11-09T17:45:00,2019-11-09T19:00:00,75,1245,KLM,KL,1,110.0
11,20,London Gatwick,Barcelona,2019-11-09T09:05:00,2019-11-09T12:15:00,130,7835,Vueling Airlines,VY,1,92.0
11,21,Barcelona,Paris Orly,2019-11-09T14:05:00,2019-11-09T15:55:00,110,8018,Vueling Airlines,VY,1,92.0
12,22,London Heathrow,Munich,2019-11-09T07:40:00,2019-11-09T10:25:00,105,2485,Lufthansa,LH,1,254.14
12,23,Munich,Paris Charles de Gaulle,2019-11-09T13:25:00,2019-11-09T15:00:00,95,2230,Lufthansa,LH,1,254.14
13,24,London Heathrow,Paris Charles de Gaulle,2019-11-09T19:50:00,2019-11-09T22:05:00,75,1181,Air France,AF,0,86.0
14,25,London Heathrow,Warsaw Chopin,2019-11-09T18:15:00,2019-11-09T21:55:00,160,280,LOT,LO,1,118.0
14,26,Warsaw Chopin,Paris Charles de Gaulle,2019-11-10T07:20:00,2019-11-10T09:55:00,155,331,LOT,LO,1,118.0
15,27,London Heathrow,Paris Charles de Gaulle,2019-11-09T09:00:00,2019-11-09T11:25:00,85,1681,Air France,AF,0,95.0
16,28,London Gatwick,Barcelona,2019-11-09T21:00:00,2019-11-10T00:10:00,130,7821,Vueling Airlines,VY,1,86.0
16,29,Barcelona,Paris Orly,2019-11-10T07:00:00,2019-11-10T08:50:00,110,8012,Vueling Airlines,VY,1,86.0
17,30,London City,Amsterdam,2019-11-09T08:40:00,2019-11-09T11:00:00,80,986,KLM Cityhopper,WA,1,123.85
17,31,Amsterdam,Paris Charles de Gaulle,2019-11-09T12:25:00,2019-11-09T13:40:00,75,1233,KLM,KL,1,123.85
18,32,London Gatwick,Porto,2019-11-09T13:00:00,2019-11-09T15:15:00,135,1331,TAP Air Portugal,TP,1,85.0
18,33,Porto,Paris Orly,2019-11-09T19:10:00,2019-11-09T22:20:00,130,458,TAP Air Portugal,TP,1,85.0
19,34,London Heathrow,Paris Charles de Gaulle,2019-11-09T13:05:00,2019-11-09T15:20:00,75,314,British Airways,BA,0,80.44
20,35,London Heathrow,Paris Charles de Gaulle,2019-11-09T08:35:00,2019-11-09T10:50:00,75,306,British Airways,BA,0,73.44
21,36,London Gatwick,Porto,2019-11-09T20:45:00,2019-11-09T23:00:00,135,1335,Portugalia Airlines,NI,1,85.0
21,37,Porto,Paris Orly,2019-11-10T06:20:00,2019-11-10T09:35:00,135,452,TAP Air Portugal,TP,1,85.0
22,38,London Heathrow,Munich,2019-11-09T13:50:00,2019-11-09T16:35:00,105,2475,Lufthansa,LH,1,254.14
22,39,Munich,Paris Charles de Gaulle,2019-11-09T19:25:00,2019-11-09T21:00:00,95,2236,Lufthansa,LH,1,254.14
23,40,London Heathrow,Madrid,2019-11-09T07:35:00,2019-11-09T11:00:00,145,7460,British Airways,BA,1,95.39
23,41,Madrid,Paris Orly,2019-11-09T11:55:00,2019-11-09T13:55:00,120,3406,Iberia,IB,1,95.39
24,42,London Heathrow,Paris Charles de Gaulle,2019-11-09T20:30:00,2019-11-09T22:45:00,75,326,British Airways,BA,0,83.6
25,43,London Heathrow,Paris Charles de Gaulle,2019-11-09T17:35:00,2019-11-09T19:55:00,80,1281,Air France,AF,0,75.0
26,44,London Heathrow,Lisbon,2019-11-09T13:40:00,2019-11-09T16:20:00,160,1359,TAP Air Portugal,TP,1,97.0
26,45,Lisbon,Paris Orly,2019-11-09T19:40:00,2019-11-09T23:05:00,145,446,TAP Air Portugal,TP,1,97.0
27,46,London Heathrow,Paris Charles de Gaulle,2019-11-09T06:25:00,2019-11-09T08:45:00,80,1081,Air France,AF,0,75.0
28,47,London Heathrow,Lisbon,2019-11-09T18:30:00,2019-11-09T21:05:00,155,1357,TAP Air Portugal,TP,1,111.0
28,48,Lisbon,Paris Orly,2019-11-10T06:40:00,2019-11-10T10:15:00,155,434,TAP Air Portugal,TP,1,111.0
29,49,London Heathrow,Brussels International,2019-11-09T11:05:00,2019-11-09T13:10:00,65,5595,Brussels Airlines,SN,2,317.84
29,50,Brussels International,Frankfurt am Main,2019-11-09T15:05:00,2019-11-09T16:05:00,60,1013,Lufthansa,LH,2,317.84
29,51,Frankfurt am Main,Paris Charles de Gaulle,2019-11-09T17:40:00,2019-11-09T18:55:00,75,1046,Lufthansa,LH,2,317.84
30,52,London Heathrow,Frankfurt am Main,2019-11-09T07:30:00,2019-11-09T10:05:00,95,923,Lufthansa,LH,1,256.14
30,53,Frankfurt am Main,Paris Charles de Gaulle,2019-11-09T12:10:00,2019-11-09T13:25:00,75,1034,Lufthansa,LH,1,256.14
31,54,London Gatwick,Madrid,2019-11-09T09:55:00,2019-11-09T13:20:00,145,1014,Air Europa,UX,1,77.6
31,55,Madrid,Paris Orly,2019-11-09T17:20:00,2019-11-09T19:20:00,120,1025,Air Europa,UX,1,77.6
32,56,London Heathrow,Stockholm Arlanda,2019-11-09T13:50:00,2019-11-09T17:20:00,150,532,SAS,SK,1,117.0
32,57,Stockholm Arlanda,Paris Charles de Gaulle,2019-11-10T10:05:00,2019-11-10T12:40:00,155,577,SAS,SK,1,117.0
33,58,London Gatwick,Barcelona,2019-11-09T21:00:00,2019-11-10T00:10:00,130,7821,Vueling Airlines,VY,1,82.0
33,59,Barcelona,Paris Charles de Gaulle,2019-11-10T07:50:00,2019-11-10T09:55:00,125,8242,Vueling Airlines,VY,1,82.0
34,60,London Gatwick,Paris Charles de Gaulle,2019-11-09T21:10:00,2019-11-09T23:25:00,75,8773,Vueling Airlines,VY,0,44.0
35,61,London Heathrow,Paris Charles de Gaulle,2019-11-09T15:35:00,2019-11-09T17:55:00,80,1781,Air France,AF,0,75.0
36,62,London Heathrow,Munich,2019-11-09T11:10:00,2019-11-09T13:55:00,105,2473,Lufthansa,LH,1,254.14
36,63,Munich,Paris Charles de Gaulle,2019-11-09T15:40:00,2019-11-09T17:15:00,95,2234,Lufthansa CityLine,CL,1,254.14
37,64,London Heathrow,Munich,2019-11-09T11:10:00,2019-11-09T13:55:00,105,2473,Lufthansa,LH,2,298.14
37,65,Munich,Frankfurt am Main,2019-11-09T15:00:00,2019-11-09T16:00:00,60,111,Lufthansa,LH,2,298.14
